,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamento,aumento_reducao_caixa_equivalentes,datas,tic
8,2480.0,-49.36,-2400.0,36.99,30/09/2022,B3SA3
9,3930.0,-19.26,-3890.0,16.4,30/06/2022,B3SA3
10,1650.0,-110.84,-1580.0,-32.61,31/03/2022,B3SA3
11,4130.0,-2020.0,-2220.0,-111.44,31/12/2021,B3SA3
12,-2000.0,-86.72,2280.0,194.25,30/09/2021,B3SA3
13,-620.91,-75.85,383.07,-313.69,30/06/2021,B3SA3
14,1710.0,-20.44,-1560.0,123.82,31/03/2021,B3SA3
15,2100.0,-162.97,-1890.0,47.06,31/12/2020,B3SA3
16,-667.6,950.99,-272.55,10.84,30/09/2020,B3SA3
17,270.79,-108.05,-82.27,80.47,30/06/2020,B3SA3
18,1050.0,-15.5,-1000.0,26.43,31/03/2020,B3SA3
19,2460.0,-113.32,-2240.0,105.81,31/12/2019,B3SA3
20,834.77,-78.95,-763.63,-7.81,30/09/2019,B3SA3
21,-642.53,-106.5,750.39,1.36,30/06/2019,B3SA3
22,569.1,-46.37,-503.12,19.62,31/03/2019,B3SA3
23,2050.0,-102.13,-1970.0,-21.65,31/12/2018,B3SA3
24,525.01,-47.4,-448.43,29.19,30/09/2018,B3SA3
25,533.86,-89.29,-442.91,1.67,30/06/2018,B3SA3
26,555.49,-42.8,-566.21,-53.53,31/03/2018,B3SA3
27,8820.0,-8330.0,-483.17,3.83,31/12/2017,B3SA3
28,892.85,-68.71,-777.93,46.22,30/09/2017,B3SA3
29,998.3,-570.3,-416.62,11.38,30/06/2017,B3SA3
30,479.13,-84.72,-446.68,-52.27,31/03/2017,B3SA3
31,-3140.0,-70.88,3210.0,-1.05,31/12/2016,B3SA3
32,286.91,-49.29,-281.01,-43.39,30/09/2016,B3SA3
33,-4250.0,4330.0,-169.66,-93.58,30/06/2016,B3SA3
34,24.8,83.19,-78.93,29.06,31/03/2016,B3SA3
35,816.06,-60.81,-763.54,-8.29,31/12/2015,B3SA3
36,-640.45,1190.0,-420.67,129.19,30/09/2015,B3SA3
37,542.84,-49.28,-528.08,-34.52,30/06/2015,B3SA3
38,250.88,-15.71,-171.81,63.37,31/03/2015,B3SA3
39,466.36,-40.59,-418.76,7.01,31/12/2014,B3SA3
40,236.53,-19.41,-230.35,-13.23,30/09/2014,B3SA3
41,573.85,-22.35,-563.69,-12.18,30/06/2014,B3SA3
42,577.76,26.75,-512.4,92.11,31/03/2014,B3SA3
43,401.04,-37.34,-358.64,5.06,31/12/2013,B3SA3
44,363.67,-62.85,-451.82,-151.01,30/09/2013,B3SA3
45,1120.0,-117.64,-847.65,154.86,30/06/2013,B3SA3
46,33.18,-28.82,-15.24,-10.87,31/03/2013,B3SA3
47,528.71,-72.48,-458.86,-2.63,31/12/2012,B3SA3
48,295.84,-36.96,-259.66,,30/09/2012,B3SA3
49,282.5,-29.59,-240.18,12.73,30/06/2012,B3SA3
50,220.63,6.24,-257.18,-30.32,31/03/2012,B3SA3
51,264.29,-85.92,-253.19,-74.83,31/12/2011,B3SA3
52,594.91,-33.02,-447.52,114.38,30/09/2011,B3SA3
53,531.92,-36.01,-506.23,-10.32,30/06/2011,B3SA3
54,293.2,-21.57,-340.23,-68.6,31/03/2011,B3SA3
0,-45560.0,47010.0,-5060.0,-4760.0,30/09/2024,BBAS3
1,50070.0,-37190.0,-9980.0,8690.0,30/06/2024,BBAS3
2,52890.0,-28630.0,-5160.0,20080.0,31/03/2024,BBAS3
3,30110.0,-18720.0,-7150.0,-6480.0,31/12/2023,BBAS3
4,-12990.0,12440.0,-4050.0,-3790.0,30/09/2023,BBAS3
5,10180.0,14920.0,-10810.0,10110.0,30/06/2023,BBAS3
6,-12560.0,13000.0,-12330.0,-13670.0,31/03/2023,BBAS3
7,5910.0,19420.0,-5070.0,14760.0,31/12/2022,BBAS3
8,6430.0,-21350.0,-2930.0,-17850.0,30/09/2022,BBAS3
9,36340.0,-11420.0,-4780.0,26670.0,30/06/2022,BBAS3
10,17380.0,-4660.0,-15430.0,-9250.0,31/03/2022,BBAS3
11,-27380.0,-48380.0,-32030.0,-106240.0,31/12/2021,BBAS3
12,15700.0,-22040.0,-4670.0,-8400.0,30/09/2021,BBAS3
13,5170.0,3290.0,-5130.0,-1400.0,30/06/2021,BBAS3
14,-101400.0,-2360.0,-10600.0,-110820.0,31/03/2021,BBAS3
15,224380.0,-90600.0,-24380.0,119710.0,31/12/2020,BBAS3
16,-2250.0,2990.0,-2600.0,-1040.0,30/09/2020,BBAS3
17,46520.0,-59540.0,-14020.0,-21790.0,30/06/2020,BBAS3
18,-1610.0,14200.0,6350.0,26330.0,31/03/2020,BBAS3
19,75940.0,-25480.0,-23210.0,27090.0,31/12/2019,BBAS3
20,11380.0,-12330.0,1830.0,3090.0,30/09/2019,BBAS3
21,12610.0,-23550.0,-2790.0,-14140.0,30/06/2019,BBAS3
22,33550.0,7270.0,-10450.0,30480.0,31/03/2019,BBAS3
